BLADE_TYPE,COMMENTS,FACING_CD,FLD_SRC_TXT,INSTDATE,MATERIAL,PL_TY,REUSE,SGN_COUNT_NO,SGN_STA_CD,SIGN_TXT,STA_CD,SIZE_CD,SUPPORTTYPE,UNITID,TE_SIGNLOCATION_UNITID,POINT,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,"2HR 0900-1800, M-SAT, PAY REQD, AL",R,SPECIAL,Signpole,1109536803,1109536802,POINT (-114.054131679065 51.042991528245),14,3,260,5
Park Plus,,SW,Field Estimate,6/15/2016,High Intensity,SG_40-05,,4,A,"3HR, 0900-1800, M-SAT, PAY REQD, AL",R,30X45,Signpole,1110003734,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Park Plus,,NE/SW,Field Estimate,7/21/2016,Engineer Grade,SG_40-05,,4,A,ZONE 3464 AL GRASS GREEN,A,35X20,Signpole,1110014136,1110014134,POINT (-114.055532682212 51.042082859862),14,3,260,5
Warning,,W,Field Estimate,6/2/2015,High Intensity,SG_40-99,,2,A,SHARE THE ROAD,R,60X30,Signpole,1109956351,1109046527,POINT (-114.055583840202 51.043034570939),14,3,260,5
Parking Restrictions,,NW,,12/31/2019,,SG_40-06,,1,A,,A,,Signpole,1109189427,1109077474,POINT (-113.942520091582 51.105400131247),9,4,56,1
Park Plus,,SW,Field Estimate,1/17/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110225580,1110005342,POINT (-114.055727884593 51.041232817723),14,3,260,5
Warning,,NW,Field Estimate,7/1/2005,High Intensity,SG_40-99,,5,A,,A,60X60,Signpole,1109114382,1109064485,POINT (-114.054330276081 51.042997232679),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-12,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526405,1109286986,POINT (-114.053560201853 51.041868885223),14,3,260,5
Pedestrian,,E,Field Estimate,8/2/2017,High Intensity,SG_40-05,,2,A,,R,60X75,Signpole,1109588979,1109588978,POINT (-114.050415908751 51.047132018374),7,3,65,7
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526379,1109526373,POINT (-114.05423120852 51.042027593481),14,3,260,5
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,NPAT AR,A,30X30,Signpole,1109536804,1109536802,POINT (-114.054131679065 51.042991528245),14,3,260,5
Pedestrian,,N,Field Estimate,3/19/2019,High Intensity,SG_40-06,,1,A,,A,60X75,Signpole,1110193052,1110193050,POINT (-114.085852927154 50.924219749088),5,1,32,6
Street Name,,E/W,GPS,1/7/2010,High Intensity,SG_40-05,,4,A,5 ST SE,A,15XL,Signpole,1109588985,1109588983,POINT (-114.050531619574 51.046973247528),7,3,65,7
Warning,,E,Field Estimate,8/21/2007,High Intensity,SG_40-06,,6,A,,A,60X60,Signpole,1109170433,1109068458,POINT (-114.054597407774 51.043149031148),14,3,260,5
Regulatory,,E,GPS,7/1/2004,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1109142770,1109074891,POINT (-114.214225554878 51.015206999225),1,1,165,14
Warning,,S,Field Estimate,3/19/2019,High Intensity,SG_40-09,,1,A,,A,150X60,Signpole,1110193115,1110193114,POINT (-114.08564731076 50.924375899488),5,1,32,6
Pedestrian,,E,Field Estimate,3/19/2019,High Intensity,SG_40-06,,2,A,,A,60X75,Signpole,1110193045,1110193043,POINT (-114.086134131611 50.924409675248),5,1,32,6
Pedestrian,,,GPS,8/18/2016,Diamond Grade,SG_40-06,,0,R,PED SLEEVE,R,SPECIAL,Signpole,1110021175,1109715477,POINT (-113.93751373033 50.910725739443),4,3,96,8
Timed Parking,,NE,Field Estimate,,,SG_40-05,,4,A,"3 HR, 0900-1800, M-F, PAY REQD, AR",R,SPECIAL,Signpole,1110202096,1109526387,POINT (-114.053814119709 51.042038924552),14,3,260,5
Parking Restrictions,,NW,Field Estimate,7/1/2005,,SG_40-05,,4,A,,R,30X30,Signpole,1109115402,1109037640,POINT (-114.055654536932 51.043032877791),14,3,260,5
Parking Restrictions,,SE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526326,1109037815,POINT (-114.055280276146 51.042213287566),14,3,260,5
Timed Parking,,NW,Field Estimate,1/16/2019,High Intensity,SG_40-99,,5,A,"2HR 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110201986,1109064485,POINT (-114.054330276081 51.042997232679),14,3,260,5
Parking Restrictions,,SW,,,,SG_40-06,,0,R,,R,30X30,Signpole,1110207013,1110207011,POINT (-114.013001117359 50.863701599886),6,3,135,13
Park Plus,,NE,Field Estimate,7/20/2018,High Intensity,SG_40-05,,4,A,9HR 0900-1800 M-SAT AR PAYMENT REQ,R,30X45,Signpole,1110155346,1110155345,POINT (-114.048449129653 51.041446154562),14,3,260,5
Park Plus,,NE,Field Estimate,7/21/2016,High Intensity,SG_40-05,,4,A,3HR 0900-1800 M-SAT AR PAY REQ,R,30X45,Signpole,1110014133,1110014130,POINT (-114.055113007297 51.042076844805),14,3,260,5
Pedestrian,,N,Field Estimate,3/19/2019,High Intensity,SG_40-05,,2,A,,A,60X75,Signpole,1110193036,1110193034,POINT (-114.085743493517 50.924683090023),5,1,32,6
Warning,,NE,Field Estimate,9/12/2018,High Intensity,SG_40-57,,1,A,DELINEATOR,A,,Signpole,1110271362,1110172247,POINT (-113.937597159063 50.910707157801),4,3,96,8
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110223121,1109526387,POINT (-114.053814119709 51.042038924552),14,3,260,5
Yield,,SW,Field Estimate,,Diamond Grade,SG_40-05,,0,R,,R,60X60,Signpole,1110002832,1110002831,POINT (-114.09441056135 50.979431963661),8,1,195,5
Street Name,,N/S,,1/27/2020,High Intensity,SG_40-06,,4,A,53 AV SE,A,15XL,Signpole,1109227183,1109057113,POINT (-114.049265718027 51.00587707815),10,3,160,11
Park Plus,,SE,Field Estimate,7/3/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3199, AR (G GREEN)",A,,Signpole,1109526333,1109037816,POINT (-114.054985077234 51.042213328828),14,3,260,5
,,N,Field Estimate,3/27/2019,,,,5,A,FLAMES,A,SPECIAL,Streetlightstandard,1110215688,1109286989,POINT (-114.05359684483 51.04162886668),14,3,260,5
Street Name,,N/S,Field Estimate,3/19/2019,High Intensity,,,3,A,SHAWNEE BLVD,A,15XL,Streetlightstandard,1110193129,1110193016,POINT (-114.085379038027 50.924391993721),5,1,32,6
Regulatory,,SE,Field Estimate,10/21/2015,High Intensity,SG_40-05,,2,A,,A,60X60,Signpole,1109979070,1109979069,POINT (-113.999129513177 50.95303897847),4,3,162,8
Park Plus,,SW,Field Estimate,1/17/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110225579,1110005342,POINT (-114.055727884593 51.041232817723),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-05,,4,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AR",R,,Signpole,1109526370,1109526369,POINT (-114.054521552678 51.042063178225),14,3,260,5
Parking Restrictions,,SE,Field Estimate,11/22/2012,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1109526331,1109037816,POINT (-114.054985077234 51.042213328828),14,3,260,5
Stop,,E,Field Estimate,12/5/2018,Diamond Grade,SG_40-05,,2,A,4-WAY,A,40X25,Signpole,1110196148,1109588978,POINT (-114.050415908751 51.047132018374),7,3,65,7
Parking Restrictions,,SE,,7/3/2009,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1109526335,1109075270,POINT (-114.054691714515 51.04220569844),14,3,260,5
Park Plus,,NE,Field Estimate,7/3/2009,Engineer Grade,SG_40-12,,4,A,"14"" ZONE 3468, AL (G GREEN)",A,,Signpole,1109526410,1109286992,POINT (-114.053588296099 51.041538585755),14,3,260,5
Warning,,S,Field Estimate,1/17/2019,High Intensity,SG_40-06,,1,A,13-201,A,75X75,Signpole,1110136396,1110136395,POINT (-113.976433512975 50.999243999882),10,3,159,11
Timed Parking,,NW,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"2HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110201981,1109984193,POINT (-114.053927623401 51.042987109727),14,3,260,5
Regulatory,,SW,Field Estimate,1/6/2020,High Intensity,SG_40-05,,2,A,,A,60X75,Signpole,1110250387,1110250382,POINT (-114.167995023647 51.050751391314),1,1,67,14
Pedestrian,,S,Field Estimate,3/19/2019,High Intensity,SG_40-05,,2,A,,A,60X75,Signpole,1110193038,1110193034,POINT (-114.085743493517 50.924683090023),5,1,32,6
Bicycle / Pathway,,W,Field Estimate,7/17/2019,High Intensity,SG_40-27,,2,A,LEFT TURN YIELD TO BICYCLES TWO-WAY (45 X 90),A,SPECIAL,Signpole,1110232992,1110232991,POINT (-114.059626225213 51.041353568818),14,3,260,5
Park Plus,,SW,Field Estimate,6/15/2016,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3475, AL (GREEN)",A,35X20,Signpole,1110003733,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Pedestrian,,W,GPS,5/27/2010,High Intensity,,,1,A,,R,60X75,Streetlightstandard,1109615339,1109597751,POINT (-114.214280914094 51.015109353986),1,1,165,14
Park Plus,,SE,Field Measurement,7/3/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3199, AR (G GREEN)",A,,Signpole,1109526350,1109526347,POINT (-114.053803742862 51.04217804912),14,3,260,5
Parking Restrictions,,SW,Field Estimate,7/17/2019,High Intensity,SG_40-27,,2,A,"NSAT, DA + TOW AWAY",A,30X45,Signpole,1110232993,1110232991,POINT (-114.059626225213 51.041353568818),14,3,260,5
Street Name,,N/S,GPS,1/7/2010,High Intensity,SG_40-05,,4,A,6 AVE SE,A,15XL,Signpole,1109588993,1109588991,POINT (-114.050685051172 51.047205670797),7,3,65,7
Timed Parking,,NE,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, SAT, AR",R,SPECIAL,Signpole,1110202087,1110014130,POINT (-114.055113007297 51.042076844805),14,3,260,5
Park Plus,,SE,Field Measurement,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110223135,1109526347,POINT (-114.053803742862 51.04217804912),14,3,260,5
Timed Parking,,SW,Field Estimate,,,SG_40-05,,4,A,"3HR, 0900-1800, SAT, AR",R,SPECIAL,Signpole,1110202031,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Park Plus,,NW,Field Estimate,7/14/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3192 AL (BLUE)",A,SPECIAL,Signpole,1109536779,1109037640,POINT (-114.055654536932 51.043032877791),14,3,260,5
Snow Route,,SE,Field Estimate,11/1/2011,High Intensity,SG_40-06,,6,A,NS SNOW ROUTE 2100-0600,A,SPECIAL,Signpole,1109682167,1109068458,POINT (-114.054597407774 51.043149031148),14,3,260,5
Parking Restrictions,,SW,Field Estimate,7/7/2016,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1110005344,1110005342,POINT (-114.055727884593 51.041232817723),14,3,260,5
